[2/9/2026, 8:18:46 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:18:46 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,spellingGetLanguages
[2/9/2026, 8:18:47 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:18:47 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabColor
[2/9/2026, 8:18:50 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,updateColorProfile
[2/9/2026, 8:18:50 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabColor
[2/9/2026, 8:18:50 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:18:50 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:18:51 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setEditFilePermissions
[2/9/2026, 8:18:51 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:18:51 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:18:51 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setUrl
[2/9/2026, 8:18:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setUrl
[2/9/2026, 8:18:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabPreviewData
[2/9/2026, 8:18:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setIsLibrary
[2/9/2026, 8:18:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setIsTeamTemplate
[2/9/2026, 8:18:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setEditFilePermissions
[2/9/2026, 8:18:53 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
